Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
4.4	1235.5	FR	DE		CN
5.0	383.1	FR	ES		CN
1.8	108.8	FR	GB		CN
0.0	4.2	FR	GR		CN
961.9	11203.7	FR	HK		CN
0.0	23.8	FR	IE		CN
32.4	1123.6	FR	IT		CN
4.1	382.4	FR	KY		CN
49.0	1245.0	FR	LU		CN
1.1	163.8	FR	MY		CN
719.7	6238.4	FR	NL		CN
3.5	194.9	FR	SE		CN
45.0	1324.8	FR	SG		CN
0.4	34.3	FR	TW		CN
13.4	1228.5	FR	US		CN
152.0	7615.3	FR	VG		CN
2045.1	12464.9	GB			CN
1.0	153.5	GB	AU		CN
6.4	179.8	GB	BE		CN
1.6	295.4	GB	BM		CN
0.7	76.0	GB	CH		CN
7.8	524.7	GB	DE		CN
5.5	149.4	GB	ES		CN
48.6	2314.3	GB	FR		CN
8686.4	90033.3	GB	HK		CN
0.1	39.2	GB	IE		CN
0.5	50.8	GB	IN		CN
22.5	429.1	GB	IT		CN
397.6	3542.4	GB	KY		CN
0.1	21.6	GB	LU		CN
44.6	1310.4	GB	MY		CN
40.5	2041.9	GB	NL		CN
1.3	167.9	GB	NO		CN
0.0	3.4	GB	NZ		CN
0.4	84.6	GB	SE		CN
342.9	4549.4	GB	SG		CN
0.0	13.0	GB	TR		CN
10.6	254.0	GB	US		CN
146.4	3879.5	GB	VG		CN
0.5	9.3	GR			CN
0.8	37.6	GR	GB		CN
0.0	2.3	GR	HK		CN
0.4	29.1	GR	NL		CN
21871.0	122086.4	HK			CN
9.7	496.9	HK	AT		CN
713.9	4277.1	HK	BM		CN
4.3	252.4	HK	CA		CN
0.0	28.1	HK	DE		CN
0.5	49.0	HK	GB		CN
10.8	10.8	HK	GI		CN
0.1	17.2	HK	IT		CN
2959.5	14946.1	HK	KY		CN
48.8	924.8	HK	NL		CN
976.2	11697.0	HK	SG		CN
1724.2	79732.1	HK	VG		CN
3.5	3.5	HR			CN
0.1	9.9	HR	IT		CN
220.9	220.9	HU			CN
3.3	156.6	HU	HK		CN
895.7	895.7	ID			CN
2.4	266.8	ID	AU		CN
1046.2	24306.2	ID	HK		CN
0.5	48.8	ID	IT		CN
0.4	20.4	ID	KY		CN
289.3	4981.6	ID	MU		CN
639.2	8528.5	ID	SG		CN
3.8	415.2	IE			CN
1.2	367.9	IE	HK		CN
17.3	385.9	IE	NL		CN
251.2	791.4	IL			CN
6.7	267.9	IL	DE		CN
32.6	2048.4	IL	HK		CN
17.3	856.8	IL	NL		CN
245.3	605.1	IN			CN
2.4	144.4	IN	AE		CN
11.5	1121.6	IN	AU		CN
0.0	0.5	IN	BE		CN
32.7	666.2	IN	BM		CN
7.2	269.2	IN	CH		CN
8.1	1053.6	IN	DE		CN
1.3	144.6	IN	FR		CN
15.4	453.1	IN	GB		CN
28.9	766.3	IN	HK		CN
0.1	18.6	IN	IT		CN
4.8	610.6	IN	KR		CN
1.2	278.1	IN	LU		CN
215.2	4202.1	IN	MU		CN
111.6	2739.5	IN	MY		CN
0.4	86.4	IN	NL		CN
0.0	7.2	IN	SE		CN
82.3	2273.0	IN	SG		CN
75.0	1007.8	IN	US		CN
682.0	34662.2	IN	VG		CN
57.1	57.1	IR			CN
0.8	199.5	IR	DE		CN
1.4	102.1	IS			CN
0.0	0.7	IS	BE		CN
4.8	153.1	IS	GB		CN
2715.3	6450.1	IT			CN
0.9	62.4	IT	BE		CN
0.1	21.4	IT	CH		CN
8.4	350.5	IT	DE		CN
2.4	162.1	IT	ES		CN
23.1	1130.3	IT	FR		CN
0.7	20.7	IT	GB		CN
504.1	12179.1	IT	HK		CN
0.4	28.6	IT	LU		CN
2.9	129.3	IT	MU		CN
64.2	1471.5	IT	NL		CN
3.4	111.2	IT	PT		CN
0.2	16.3	IT	SE		CN
19.8	905.5	IT	SG		CN
25.4	25.4	IT	SK		CN
18.2	612.5	IT	US		CN
147936.5	151653.7	JP			CN
43.1	1336.7	JP	AU		CN
0.7	23.5	JP	BE		CN
5.0	445.6	JP	BM		CN
6.4	924.9	JP	BN		CN
29.8	600.2	JP	CH		CN
34.8	3833.7	JP	DE		CN
2.8	222.9	JP	DK		CN
3.6	263.0	JP	ES		CN
4.4	475.6	JP	FI		CN
3.6	494.3	JP	FR		CN
13.6	1459.4	JP	GB		CN
4633.4	37703.7	JP	HK		CN
0.7	33.2	JP	IN		CN
5.3	399.6	JP	IT		CN
28.2	1282.4	JP	KR		CN
42.3	660.7	JP	KY		CN
0.8	4.4	JP	LK		CN
28.2	449.2	JP	LU		CN
35.6	852.2	JP	MY		CN
45.4	2072.2	JP	NL		CN
23.6	950.6	JP	SE		CN
227.8	6505.8	JP	SG		CN
0.1	14.3	JP	TH		CN
40.2	1109.9	JP	US		CN
1.6	120.2	JP	VG		CN
6.4	239.1	JP	ZA		CN
22.7	22.7	KP			CN
56850.2	60984.8	KR			CN
133.6	2652.4	KR	BN		CN
