Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
0.1	6.0	GB	BM	CY	IT
45.1	606.4	GB	CH		IT
3.3	86.7	GB	CH	NL	IT
1.1	29.8	GB	CW	NL	IT
0.4	13.2	GB	CY		IT
0.1	5.2	GB	CY	LU	IT
44.6	612.9	GB	DE		IT
37.3	494.7	GB	ES		IT
12.2	349.5	GB	FR		IT
0.1	17.3	GB	GG		IT
0.1	7.3	GB	GG	DE	IT
1.5	55.3	GB	GG	FR	IT
1.2	75.0	GB	GG	LU	IT
0.5	29.3	GB	IE		IT
0.9	18.5	GB	IE	NL	IT
40.7	1417.1	GB	JE		IT
108.4	263.2	GB	JE	AR	IT
0.1	12.1	GB	JE	DE	IT
5.5	168.7	GB	JE	ES	IT
0.2	18.3	GB	JE	FR	IT
0.9	59.3	GB	JE	LU	IT
54.5	1250.7	GB	JE	NL	IT
0.0	0.9	GB	LI		IT
4408.8	14749.2	GB	LU		IT
91.7	2331.5	GB	LU	BE	IT
5.2	153.0	GB	LU	DE	IT
0.9	32.8	GB	LU	ES	IT
0.6	23.3	GB	LU	FR	IT
0.4	15.5	GB	LU	NL	IT
0.2	237.0	GB	MT		IT
140.9	2890.8	GB	NL		IT
0.0	1.1	GB	SG		IT
0.1	8.0	GB	TR		IT
0.3	7.6	GB	US		IT
1.2	7.5	GE			IT
0.8	15.6	GR	BE		IT
107.4	219.0	GR	CH		IT
10.6	59.7	GT			IT
3.0	122.2	HK	BM		IT
0.0	1.7	HK	BM	FR	IT
0.3	3.9	HK	BM	NL	IT
18.1	223.3	HK	LU		IT
1.1	9.4	HK	PA	LU	IT
61.3	197.3	HK	VG		IT
22.8	159.5	HK	VG	KY	IT
6.4	58.6	HR			IT
7.1	146.0	HR	LU		IT
12.0	12.1	HU			IT
39.0	317.9	ID			IT
3.7	66.2	IE			IT
0.1	3.1	IE	FR		IT
0.1	2.9	IE	GB		IT
2.9	48.9	IL	BE		IT
0.4	14.7	IL	CY		IT
0.0	2.7	IL	FR		IT
8.0	150.0	IL	LU		IT
9.0	90.3	IL	NL		IT
1.8	35.7	IL	US		IT
0.5	29.5	IN	BE		IT
0.4	29.0	IN	CA		IT
0.0	1.7	IN	CH		IT
2.3	49.2	IN	CY		IT
0.1	1.9	IN	CY	LU	IT
0.2	6.5	IN	FR		IT
0.1	5.4	IN	GB		IT
5.9	185.3	IN	JE	LU	IT
36.5	408.3	IN	LU		IT
1.0	121.4	IN	MT		IT
13.4	23.0	IN	MU		IT
