FDI source	destination	IMF CDIS data (2015)	Total ultimate investor uncertainty	Lower estimate (75% confidence)	Median estimate	Upper estimate (75% confidence)
BA	DE	0.00	0.932	12.505	38.632	133.203
BR	DE	155.00	0.001	946.327	946.822	948.146
BN	DE	1.00	0	0	0	0
BG	DE	0.00	0.889	20.766	63.348	186.66
CA	DE	1448.00	0.309	8359.067	9420.249	11995.77
KY	DE	1003.00	0.772	0	0	0
CL	DE	0.00	0.925	16.653	53.356	171.265
HK	DE	859.00	0.765	202.988	394.656	672.871
CN	DE	3080.00	0.349	5606.453	6047.309	6853.866
CO	DE	2.00	0.001	2.994	2.995	2.996
CG	DE	0.00	0	0	0	0
HR	DE	0.00	0.991	8.32	32.418	139.501
CW	DE	52.00	0.842	0	0	0
CY	DE	2537.00	0.829	1.282	5.919	26.642
CZ	DE	5395.00	0.844	933.147	1152.237	1959.581
DK	DE	13154.00	0.536	7043.991	7260.081	7833.914
EC	DE	-2.00	0	0	0	0
EG	DE	0.00	0.928	126.09	293.696	804.313
GQ	DE	1.00	0	1.0	1.0	1.0
EE	DE	0.00	0.962	2.98	2.992	2.995
FI	DE	1903.00	0.403	3103.584	3365.965	4099.934
FR	DE	51185.00	0.373	59872.61	65831.42	74484.53
GE	DE	1.00	0	1.0	1.0	1.0
DE	DE	0.00	0	74078.47	80251.19	89547.04
GH	DE	-1.00	0	0	0	0
GI	DE	697.00	0.269	0	0	0
GR	DE	-48.00	0	58.875	63.082	85.281
GG	DE	240.00	0.864	0	0	0
HN	DE	21.00	0	0	0	0
HU	DE	-192.00	0	0	0	0
IS	DE	0.00	0.946	457.441	538.393	840.748
IN	DE	381.00	0.067	5461.132	8603.491	14987.94
ID	DE	0.00	0	0	0	0
IR	DE	1631.00	0.005	1691.525	1779.68	2171.224
IQ	DE	2.00	0	2.0	2.0	2.0
IE	DE	8885.00	0.674	3197.58	5183.868	6956.894
IM	DE	90.00	0.001	0	0	0
IL	DE	1034.00	0.453	6065.732	6585.394	7728.852
IT	DE	38042.00	0.29	36997.16	38521.43	41168.31
JP	DE	23629.00	0.006	36296.33	36447.98	36856.28
JE	DE	6467.00	0.848	0	0	0
JO	DE	2.00	0	4.945	14.746	59.017
KZ	DE	0.00	0	7.0	7.0	7.0
KE	DE	7.00	0	11.109	39.797	160.761
KP	DE	0.00	0.87	36.474	99.768	281.248
KR	DE	3797.00	0.008	4334.628	4392.081	4594.691
KW	DE	205.00	0.001	328.902	330.705	342.984
KG	DE	-14.00	0	0	0	0
LB	DE	17.00	0.001	29.223	30.473	39.836
LY	DE	0.00	0	0	0	0
LI	DE	0.00	0.852	47.01	129.73	398.058
LT	DE	0.00	0.136	1.726	1.997	1.998
LU	DE	141750.00	0.587	312.025	832.897	2128.418
MY	DE	552.00	0.001	751.883	753.541	762.462
MT	DE	415.00	0.877	0	0	0
MU	DE	0.00	0.983	0	0	0
MX	DE	0.00	0.889	545.913	546.17	548.099
MC	DE	0.00	0	0.004	0.412	6.483
MA	DE	-1.00	0	0	0	0
NA	DE	1.00	0	0	0	0
NL	DE	173817.00	0.561	16021.61	24685.49	32965.99
NZ	DE	0.00	0.797	83.297	176.119	410.655
NG	DE	0.00	0.873	22.296	61.769	175.165
NO	DE	1811.00	0.236	2586.1	2628.409	2760.909
OM	DE	65.00	0	1135.801	1242.568	1782.914
PK	DE	16.00	0	8.0	8.0	8.0
PA	DE	91.00	0	0	0	0
PE	DE	3.00	0	0	0	0
PH	DE	-5.00	0	1.654	10.299	52.403
PL	DE	498.00	0.661	409.2	409.404	409.763
PT	DE	172.00	0.145	433.441	434.934	448.071
QA	DE	0.00	0.942	6960.523	7056.181	7227.554
RO	DE	-179.00	0	13.021	38.871	129.492
RU	DE	4225.00	0.001	8246.793	8950.699	10920.14
SM	DE	0.00	0	0	0	0
SA	DE	135.00	0.001	370.058	373.401	392.138
RS	DE	0.00	0.954	0.998	0.998	0.999
SG	DE	1922.00	0.829	39.942	123.369	270.22
SK	DE	0.00	0.974	7.11	26.38	90.026
SI	DE	57.00	0	72.5	72.5	72.5
ZA	DE	401.00	0.001	3163.443	5166.333	8932.943
ES	DE	16529.00	0.576	26156.98	26212.96	26383.09
LK	DE	0.00	0	0	0	0
KN	DE	0.00	0.893	10.386	32.646	97.216
