Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
0.0	2.9	GR			BR
0.0	6.6	GR	GB		BR
3.2	45.3	GR	MH		BR
13.4	539.1	GR	NL		BR
1.2	68.0	HK			BR
4.5	71.5	HK	BM		BR
0.0	3.1	HK	DE		BR
0.0	1.8	HK	GB		BR
7.8	425.9	HK	NL		BR
0.0	2.2	HR	IT		BR
2.4	185.9	HU			BR
4.0	290.0	ID	HK		BR
0.2	20.5	ID	MH		BR
3.4	260.5	ID	SG		BR
0.8	93.2	IE			BR
2.4	128.7	IE	GB		BR
130.9	209.7	IL			BR
1.4	87.7	IL	DE		BR
36.9	1455.4	IL	LU		BR
47.2	1520.9	IL	NL		BR
91.8	91.8	IN			BR
1.5	204.8	IN	BE		BR
10.5	231.2	IN	CH		BR
56.9	1107.4	IN	ES		BR
1.1	94.8	IN	FR		BR
16.8	350.6	IN	GB		BR
1.0	79.2	IN	IL		BR
1483.5	11022.7	IN	LU		BR
138.4	1847.7	IN	NL		BR
0.2	45.5	IN	PT		BR
11.2	286.4	IN	SG		BR
0.0	4.6	IN	UG		BR
1.8	79.8	IN	US		BR
0.1	6.5	IR	FR		BR
6.4	6.4	IS			BR
0.3	19.1	IS	DK		BR
2520.1	4293.9	IT			BR
1.9	154.9	IT	CH		BR
1022.8	5197.8	IT	CL		BR
356.8	531.7	IT	CW		BR
0.2	24.2	IT	DE		BR
101.0	961.2	IT	ES		BR
1.5	85.5	IT	FR		BR
3.8	142.4	IT	GB		BR
144.6	2012.1	IT	IE		BR
2035.1	15833.1	IT	LU		BR
450.5	5857.7	IT	NL		BR
65.7	1276.7	IT	PT		BR
0.3	61.7	IT	UG		BR
60.6	1189.3	IT	US		BR
18699.0	18954.3	JP			BR
24.1	669.1	JP	BE		BR
35.4	1345.3	JP	CH		BR
17.6	278.9	JP	DE		BR
6.9	256.6	JP	DK		BR
22.9	697.3	JP	ES		BR
12.0	404.9	JP	FR		BR
20.0	556.0	JP	GB		BR
19.2	430.5	JP	IT		BR
83.5	3966.4	JP	NL		BR
43.9	604.1	JP	SE		BR
8.9	220.1	JP	SG		BR
214.6	7088.1	JP	US		BR
0.0	0.1	KE	DE		BR
2825.7	2825.7	KR			BR
52.7	2188.8	KR	ES		BR
26.7	729.4	KR	US		BR
13.0	1060.2	KW	GB		BR
1.4	42.3	KW	KY		BR
12.1	440.6	KZ	GB		BR
1.0	63.4	LB	FR		BR
0.0	1.3	LB	SE		BR
6.4	84.1	LI			BR
0.9	108.3	LR	ES		BR
22.1	1223.5	LU			BR
5.7	465.1	LU	NL		BR
3.1	462.6	LU	US		BR
555.1	2354.1	LY	UG		BR
0.3	109.8	MC	NL		BR
0.1	24.9	MO	PT		BR
9433.7	9628.2	MX			BR
3.1	489.4	MX	ES		BR
58.0	58.0	MY			BR
0.2	9.4	MY	BM		BR
0.3	118.8	MY	HK		BR
4.1	65.9	MY	IT		BR
0.8	148.1	MY	KY		BR
1.7	43.0	MY	MH		BR
0.7	125.6	MY	NL		BR
2470.4	18393.2	NL			BR
1.7	139.8	NL	BE		BR
1.3	145.6	NL	BM		BR
27.2	774.2	NL	CH		BR
0.2	15.0	NL	DK		BR
0.5	100.6	NL	ES		BR
0.0	0.2	NL	FR		BR
0.0	4.8	NL	GB		BR
0.1	30.1	NL	IT		BR
0.2	50.9	NL	UG		BR
0.5	168.6	NL	US		BR
1725.8	3899.0	NO			BR
7.2	134.8	NO	BM		BR
1.3	162.7	NO	ES		BR
0.0	6.3	NO	GB		BR
4.4	531.0	NO	KY		BR
417.3	7613.1	NO	NL		BR
0.0	1.9	NO	SE		BR
0.0	6.1	NO	SG		BR
1.1	56.0	NO	US		BR
31.7	41.9	NZ			BR
12.8	859.2	NZ	LU		BR
1.8	331.5	NZ	NL		BR
360.2	1377.1	PA			BR
17.5	43.6	PE			BR
10.1	200.0	PE	CL		BR
15.9	15.9	PH			BR
3.8	3.8	PL			BR
0.0	23.2	PL	ES		BR
0.0	2.2	PL	NL		BR
944.4	3303.1	PT			BR
0.8	54.9	PT	ES		BR
0.0	3.3	PT	FR		BR
1.0	124.3	PT	KY		BR
2013.8	16513.0	PT	LU		BR
