Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination	Estimate 1 (millions USD)	Estimate 2 (millions USD)	larger estimate
US		BE	CN	250.1065183	69.30799758	1
n.a.		BE	CN	75.0253954	20.79058138	1
BZ			CN	1.690157873	1.690157873	2
TW		BZ	CN	4.655473028	4.655473028	2
n.a.		BZ	CN		356.5297281	2
HK	BM		CN	14152.81461	1197.656374	1
MO	BM		CN	4.635416667	0.392263763	1
CN	BM		CN	10558.52369	893.4959961	1
NO	BM		CN	11.38745737	0.963643011	1
SG	BM		CN	1161.358743	98.27788599	1
TW	BM		CN	7.110017857	0.601672419	1
GB	BM		CN	2052.970465	173.7289175	1
US	BM		CN	2850.344897	241.2052886	1
n.a.	BM		CN	3062.23779	259.1363419	1
CA		BM	CN	175.5038915	14.84890741	1
LK	KY	BM	CN	27.48309272	2.325269802	1
n.a.	KY	BM	CN	5.808486647	0.491440273	1
HK		BM	CN	1118.992576	94.67492154	1
CN	HK	BM	CN	80738.82792	6831.09286	1
n.a.	HK	BM	CN	0.613089346	0.051871824	1
CN		BM	CN	7029.649842	594.7595733	1
US	IE	BM	CN	100.0203253	8.462447962	1
JP		BM	CN	306.9808824	25.97281838	1
IN	LU	BM	CN	2111.427947	178.6421818	1
MY		BM	CN	97.96842267	8.288842058	1
HK	SC	BM	CN	3.044152645	0.257557484	1
TW		BM	CN	1021.750264	86.44751371	1
TH		BM	CN	927.4349167	78.46774843	1
US		BM	CN	23.47926465	1.986516788	1
HK	VG	BM	CN	221.7690965	18.7632807	1
CN	VG	BM	CN	4096.937873	346.6307819	1
n.a.	VG	BM	CN	224.7654149	19.01679106	1
n.a.		BM	CN	302.4316926	25.58792379	1
BA			CN	2.92102127	-0.070065	1
BR			CN	561.6575155	435.0269433	1
FR		BR	CN	10.7259364	8.307680739	1
US		BR	CN	128.5973314	99.60394449	1
BN			CN	2.828578678	2.828578678	2
JP		BN	CN	1.879587829	1.879587829	2
KR		BN	CN	16.06389008	16.06389008	2
TW		BN	CN	34.47990925	34.47990925	2
US		BN	CN	0.01984127	0.01984127	2
n.a.		BN	CN		3227.370667	2
CA			CN	2825.351056	9972.556532	2
HK	KY	CA	CN	6.864177169	24.22827943	2
CN		CA	CN	214.0166085	755.4079776	2
US		CA	CN	140.9556463	497.5268995	2
n.a.		CA	CN	17.95247973	63.36632705	2
AU		KY	CN	11.20139532	3.344143513	1
HK	BM	KY	CN	67.00915826	20.00538643	1
HK	KY		CN	4855.105525	1449.824744	1
CN	KY		CN	67677.24033	20209.68177	1
SG	KY		CN	257.6414909	76.93653754	1
CH	KY		CN	35.23579741	10.52206398	1
TW	KY		CN	125.7224399	37.54305715	1
TH	KY		CN	56.58016547	16.89588897	1
GB	KY		CN	117.1744472	34.99046766	1
US	KY		CN	303.1797014	90.53509355	1
VN	KY		CN	6.018867931	1.797345827	1
n.a.	KY		CN	1584.962646	473.2993033	1
HK		KY	CN	10012.25591	2989.129453	1
CN	HK	KY	CN	5613.594863	1675.922179	1
n.a.	HK	KY	CN	6.558109045	1.9579041	1
CN		KY	CN	19519.66302	5827.537786	1
FR		KY	CN	215.1503858	64.23251271	1
US	IE	KY	CN	222.7096429	66.4893066	1
JP		KY	CN	512.4235551	152.9825401	1
KR		KY	CN	791.7988439	236.389208	1
MY		KY	CN	164.6658236	49.16049567	1
NZ		KY	CN	1171.981318	349.8915635	1
HK	WS	KY	CN	45.80010033	13.67348478	1
SG		KY	CN	317.116493	94.67419307	1
SE		KY	CN	390.2275755	116.501291	1
CH		KY	CN	195.1888304	58.27304925	1
TW		KY	CN	20961.06869	6257.865196	1
TH		KY	CN	19.49178583	5.819215134	1
GB		KY	CN	7798.203676	2328.130693	1
US		KY	CN	581.2407664	173.5277154	1
HK	VG	KY	CN	1548.625406	463.7083349	1
CN	VG	KY	CN	12281.71104	3677.539935	1
SG	VG	KY	CN	13.96482439	4.181518294	1
n.a.	VG	KY	CN	430.1192643	128.7915639	1
n.a.		KY	CN	1186.506338	354.2279654	1
CL			CN	461.1499408	120.545852	1
AU		HK	CN	167.9739015	638.8421138	2
AT		HK	CN	196.4994277	747.3310356	2
BE		HK	CN	7.370032542	28.02987324	2
n.a.	BE	HK	CN	0.03510301	0.133504554	2
