Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination	Estimate 1 (millions USD)	Estimate 2 (millions USD)	larger estimate
GB		NL	CN	364.2179473	499.0223828	2
US		NL	CN	5304.171985	7267.353415	2
n.a.		NL	CN	42.01852321	57.57042927	2
CN		NZ	CN	9.451355567	28.29256907	2
NZ			CN	246.1307368	736.7906985	2
TW		NZ	CN	128.5247042	384.7378341	2
GB		NZ	CN	0.062495018	0.187078414	2
n.a.	BE	NO	CN	4.9114793	5.11095442	2
NO			CN	335.3511836	348.9711571	2
SE		NO	CN	87.03909045	90.57410139	2
GB		NO	CN	39.47513237	41.07837781	2
n.a.	GB	NO	CN	2.579855364	2.684633768	2
US		NO	CN	40.95469775	42.61803434	2
CL		PA	CN	9.470863929	101.0258285	2
n.a.	HK	PA	CN	0.340689591	3.634140296	2
TW		PA	CN	73.59920883	785.0837162	2
PE			CN	37.54415622	6.107351	1
PH			CN	325.3455549	2025.462197	2
PL			CN	94.49161573	205.9650659	2
n.a.		PL	CN	0.180219237	0.392827096	2
IT	NL	PT	CN	0.393290984	1.183199528	2
PT			CN	3.50213724	10.53603388	2
US		PT	CN	14.68987142	44.19386574	2
n.a.		PT	CN	22.16907079	66.69472521	2
CN		RO	CN	3.158007036	3.158007036	2
n.a.		RO	CN		55.81088796	2
RU			CN	45.31704459	355.1749576	2
CN	BM	WS	CN	85.05785162	476.8209136	2
CN	KY	WS	CN	1.961194872	10.99414943	2
TW	KY	WS	CN	674.3362145	3780.222563	2
CN	HK	WS	CN	29.95755668	167.9373423	2
PL		WS	CN	7.512824642	42.11571115	2
CN	WS		CN	6.672985101	40.57692506	2
TW	WS		CN	904.622353	5500.805543	2
n.a.	WS		CN	6.328898235	38.48461004	2
SG		WS	CN	29.16845606	163.5137686	2
TW		WS	CN	3140.738563	17606.4855	2
US		WS	CN	6.448649054	36.15011048	2
SA			CN	1354.411281	1585.430748	2
TW		SA	CN	5.563401062	6.512340254	2
TW		SC	CN	12.20867915	12.20867915	2
n.a.		SC	CN		2562.792357	2
AT		SG	CN	95.61142638	335.5199155	2
US	BS	SG	CN	20.96173085	73.55897123	2
BE		SG	CN	0.853922697	2.99658819	2
CN	BM	SG	CN	80.28547894	281.738053	2
SG	BM	SG	CN	63.43995053	222.6236722	2
US	BM	SG	CN	74.46359364	261.3078749	2
CA		SG	CN	10.25711605	35.99430362	2
CN	KY	SG	CN	657.13359	2306.015243	2
SG	KY	SG	CN	92.75653983	325.5015387	2
TW	KY	SG	CN	90.90384392	319.0000525	2
HK		SG	CN	1287.75351	4518.988631	2
CN	HK	SG	CN	51.48195174	180.6606255	2
n.a.	HK	SG	CN	11.39805704	39.9980973	2
CN		SG	CN	2137.725778	7501.713963	2
FI		SG	CN	8.61564897	30.23406223	2
FR		SG	CN	215.6858481	756.8854504	2
DE		SG	CN	229.2004245	804.3108443	2
IN		SG	CN	483.2595134	1695.855791	2
ID		SG	CN	22.86318159	80.23154812	2
US	IE	SG	CN	77.63642756	272.4419936	2
IT		SG	CN	59.79188801	209.8218798	2
JP		SG	CN	352.978427	1238.672996	2
US	LU	SG	CN	11.82405076	41.49299578	2
MY		SG	CN	236.6386045	830.4129287	2
MX		SG	CN	14.42058836	50.60477363	2
SE	NL	SG	CN	171.1876725	600.7323141	2
NO		SG	CN	50.64042917	177.7075519	2
PH		SG	CN	176.6376633	619.8574387	2
PL		SG	CN	3.558491773	12.48747042	2
SG			CN	19778.3011	69406.07587	2
SE		SG	CN	12.36598531	43.39475419	2
CH		SG	CN	35.97338001	126.2378973	2
TW		SG	CN	453.7887747	1592.436983	2
TH		SG	CN	371.1431617	1302.41674	2
AE		SG	CN	12.44817203	43.68316408	2
CN	GB	SG	CN	15.70933899	55.12726135	2
GB		SG	CN	729.3134322	2559.30897	2
US	GB	SG	CN	424.088835	1488.213862	2
n.a.	GB	SG	CN	2.23019922	7.826222056	2
US		SG	CN	2578.139509	9047.215203	2
CN	VG	SG	CN	142.4997234	500.0604735	2
ID	VG	SG	CN	18.57771419	65.19297254	2
JP	VG	SG	CN	116.708111	409.5524669	2
RU	VG	SG	CN	15.78818833	55.4039597	2
SG	VG	SG	CN	37.1995064	130.5406238	2
TH	VG	SG	CN	29.85568565	104.7696651	2
n.a.	VG	SG	CN	36.29746642	127.3751823	2
n.a.		SG	CN	92.92063926	326.077397	2
IT		SK	CN	3.781405334	25.358046	2
DE		SI	CN	4.100411809	10.3910777	2
SI			CN	12.17470455	30.8525843	2
JP		ZA	CN	50.05235832	91.64415214	2
ZA			CN	167.6173268	306.9015789	2
ZA	GB	ZA	CN	26.98619381	49.41079571	2
AT		ES	CN	14.80489536	9.854619147	1
DK		ES	CN	2.419544754	1.610527563	1
FR		ES	CN	77.60846048	51.65871165	1
DE		ES	CN	39.47725442	26.27734257	1
IT		ES	CN	31.98716147	21.29169347	1
JP		ES	CN	114.43627	76.17249767	1
IT	LU	ES	CN	3.589923104	2.389569402	1
GB	LU	ES	CN	10.30711728	6.860751991	1
MX		ES	CN	104.0431233	69.25448169	1
NL		ES	CN	0.005103178	0.003396841	1
ES	NL	ES	CN	45.9498205	30.58569276	1
n.a.	NL	ES	CN	0.923023421	0.614394364	1
PT		ES	CN	12.19932155	8.120264598	1
ES			CN	4086.652688	2720.208744	1
AE		ES	CN	28.81269551	19.17866583	1
GB		ES	CN	31.55958549	21.00708501	1
US		ES	CN	26.09026399	17.366527	1
n.a.		ES	CN	40.92388029	27.24026374	1
JP		LK	CN	7.283437386	3.101515663	1
LK			CN	3.360826958	1.431145337	1
CN		SE	CN	1.973309976	1.905300918	1
ZA	CY	SE	CN	3.05532549	2.950025354	1
DK		SE	CN	4.59925472	4.4407439	1
FI		SE	CN	700.5024342	676.3599976	1
FR		SE	CN	66.70076477	64.40195908	1
DE		SE	CN	30.85026087	29.78702336	1
IN		SE	CN	3.195718701	3.085579989	1
IT		SE	CN	2.820463663	2.723257912	1
JP		SE	CN	242.5588253	234.1991669	1
SE	JY	SE	CN	6.519383173	6.294696167	1
SE	LU	SE	CN	6.708376242	8.26895593	2
US	LU	SE	CN	1.494008931	1.841562483	2
n.a.	LU	SE	CN	0.007105003	0.00875785	2
n.a.	MT	SE	CN	0.152130643	0.146887543	1
DE	NL	SE	CN	2.881949358	2.782624536	1
NL		SE	CN	0.053850266	0.051994346	1
SE	NL	SE	CN	3.278511212	3.1655191	1
NO		SE	CN	46.62751838	45.02052624	1
SA		SE	CN	6.17030862	5.957652279	1
ES		SE	CN	42.2682413	40.81148928	1
SE			CN	5437.177202	5249.787838	1
DK	CH	SE	CN	0.77672168	0.749952389	1
CH		SE	CN	57.93531417	55.93860498	1
SE	GB	SE	CN	16.49718436	15.92861784	1
GB		SE	CN	76.26909636	73.6405233	1
US	GB	SE	CN	6.583226033	6.356338717	1
n.a.	GB	SE	CN	0.69394978	0.670033177	1
US		SE	CN	1014.664255	979.6944015	1
VE		SE	CN	14.28681592	13.79442855	1
LB	VG	SE	CN	1.319779968	1.274294467	1
n.a.		SE	CN	6.133199378	5.921821987	1
AT		CH	CN	24.21716291	21.86602504	1
CN		CH	CN	66.06175656	59.64811107	1
DK		CH	CN	61.25342139	55.30659602	1
FR		CH	CN	467.5223145	422.1326285	1
DE		CH	CN	681.6962485	615.513357	1
IN		CH	CN	89.08095483	80.43247659	1
US	IE	CH	CN	100.0203253	90.30979165	1
IT		CH	CN	1.039458968	0.938542467	1
JP		CH	CN	252.0804791	227.6070937	1
CH	JY	CH	CN	178.6654147	161.3195751	1
FR	LU	CH	CN	0.008567797	0.007735987	1
CH	LU	CH	CN	0.003097683	0.002796942	1
MY		CH	CN	3.002254732	2.71077902	1
BE	NL	CH	CN	8.529161745	7.701102932	1
NL		CH	CN	9.610560817	8.677513722	1
SE	NL	CH	CN	0.518138035	0.467834291	1
RU		CH	CN	61.27087968	55.32235936	1
ZA		CH	CN	98.36867869	88.81849617	1
ES		CH	CN	29.38754442	26.53443694	1
SE		CH	CN	36.37497417	32.84348786	1
DE	CH		CN	207.8333446	187.6557189	1
IN	CH		CN	6.465918029	5.838170476	1
ZA	CH		CN	28.72044695	25.93210503	1
CH			CN	9312.900294	8408.75175	1
US	CH		CN	783.2071354	707.1689982	1
n.a.	CH		CN	39.28719366	35.47297276	1
CH	GB	CH	CN	2.302031955	2.078537794	1
GB		CH	CN	14.81558732	13.37720708	1
US	GB	CH	CN	1.886144625	1.703027136	1
US		CH	CN	850.0232198	767.4982027	1
n.a.		CH	CN	31.68852039	28.61202127	1
AT		TW	CN	12.00407445	8.940406757	1
TW	BM	TW	CN	20.30145853	15.12014089	1
TW	KY	TW	CN	226.1393428	168.4242893	1
FR		TW	CN	3.832692376	2.854516518	1
CH		TW	CN	10.17737573	7.579916223	1
TW			CN	38948.25523	29007.92107	1
n.a.		TW	CN	4.959429352	3.693688827	1
JP		TH	CN	2.652534289	3.221247027	2
TH			CN	3053.810225	3708.557942	2
DE		TR	CN	16.43736091	32.6367671	2
TR			CN	92.2608077	183.1860059	2
UA			CN	4.346560297	33.069944	2
AT		AE	CN	0.034098248	0.169720237	2
DE		AE	CN	0.195039286	0.970786367	2
IN		AE	CN	22.76060703	113.2883916	2
OM		AE	CN	12.59588089	62.69459706	2
AE			CN	75.57560144	376.1691557	2
AT		GB	CN	6.681314541	5.24365041	1
GB	BM	GB	CN	8.35799066	6.559544665	1
US	BM	GB	CN	45.08613632	35.3846441	1
BR		GB	CN	110.6268211	86.82249159	1
US	KY	GB	CN	11.69489977	9.17842823	1
n.a.	KY	GB	CN	0.735808952	0.577479909	1
HK		GB	CN	5.895587525	4.626993648	1
RU	HK	GB	CN	3.793413174	2.977158525	1
n.a.	HK	GB	CN	0.981486129	0.770293048	1
CN		GB	CN	29.03589025	22.78803923	1
DK		GB	CN	5.601528294	4.396209152	1
FI		GB	CN	5.566822285	4.368971073	1
FR		GB	CN	32.60119028	25.58616927	1
DE		GB	CN	76.67734709	60.17815806	1
GR		GB	CN	17.18805409	13.48958298	1
GB	GG	GB	CN	8.874043713	6.964555054	1
IS		GB	CN	36.52862068	28.66850762	1
IN		GB	CN	314.7594892	247.0305378	1
GB	IE	GB	CN	41.58725176	32.63863846	1
US	IE	GB	CN	16.09216821	12.62950635	1
IT		GB	CN	1.570255719	1.23237306	1
JP		GB	CN	236.7816034	185.8316869	1
KW		GB	CN	3.661848859	2.873903804	1
GB	LI	GB	CN	6.487109304	5.091233642	1
n.a.	LI	GB	CN	0.591804919	0.464462208	1
DE	LU	GB	CN	0.219122398	0.171972333	1
CH	LU	GB	CN	0.001151052	0.000903372	1
GB	LU	GB	CN	1.036438766	0.81342115	1
US	LU	GB	CN	0.190285203	0.149340235	1
MY		GB	CN	0.761086636	0.597318421	1
NL		GB	CN	1.49278125	1.171569302	1
PE		GB	CN	6.322580054	4.962107275	1
RU		GB	CN	21.22592019	16.65859382	1
SG		GB	CN	6.334164928	4.971199353	1
SE		GB	CN	24.78861015	19.45467542	1
ZA	CH	GB	CN	127.6368645	100.1723677	1
n.a.	CH	GB	CN	0.94461427	0.741355159	1
TW		GB	CN	16.90411725	13.26674276	1
AE		GB	CN	0.081965919	0.064328752	1
MO	GB		CN	0.027777024	0.021800052	1
CN	GB		CN	375.7685939	294.9118963	1
FR	GB		CN	0.691099424	0.542390836	1
DE	GB		CN	65.62587521	51.50470695	1
IT	GB		CN	6.678445213	5.241398495	1
KW	GB		CN	30.55401866	23.97950156	1
ZA	GB		CN	218.3934937	171.4002725	1
CH	GB		CN	195.1813959	153.1828805	1
GB			CN	20405.16405	16014.44539	1
US	GB		CN	219.0808641	171.9397367	1
n.a.	GB		CN	91.7497244	72.00730889	1
US		GB	CN	1053.408214	826.7391661	1
HK	VG	GB	CN	4.395070996	3.44935352	1
CN	VG	GB	CN	72.71844739	57.07112188	1
n.a.	VG	GB	CN	2.608789764	2.047438634	1
n.a.		GB	CN	119.1324193	93.49788212	1
AU		US	CN	4.359051556	2.847190306	1
AT		US	CN	59.63385529	38.95088933	1
n.a.	BM	US	CN	1.128903664	0.737363054	1
BR		US	CN	21.58897658	14.10121538	1
CA		US	CN	80.80945852	52.78210272	1
CN	KY	US	CN	422.8782464	276.2102785	1
IN	KY	US	CN	153.3153795	100.1406056	1
US	KY	US	CN	15.24613971	9.958281206	1
CN	HK	US	CN	482.8980468	315.4132545	1
CN		US	CN	3587.699385	2343.368226	1
DK		US	CN	28.94590555	18.90652144	1
FR		US	CN	206.1630722	134.6589948	1
DE		US	CN	773.7597289	505.3946188	1
IN		US	CN	361.3084082	235.9948682	1
US	IE	US	CN	255.9260483	167.1625478	1
IT		US	CN	12.26167954	8.008929164	1
JP		US	CN	438.0387433	286.1126206	1
GB	JY	US	CN	3.171322929	2.071404705	1
KR		US	CN	170.6744679	111.4789959	1
DE	LU	US	CN	17.18774395	11.22647378	1
GB	LU	US	CN	12.90701157	8.430438999	1
US	LU	US	CN	0.000176486	0.000115275	1
MY		US	CN	9.168710083	5.98870239	1
MX		US	CN	44.91618325	29.33778596	1
IT	NL	US	CN	157.4394131	102.8342898	1
NL		US	CN	125.8148444	82.17815291	1
NZ		US	CN	3.274483731	2.138785976	1
SG		US	CN	319.3011479	208.5570959	1
SE		US	CN	14.71825812	9.613486169	1
CH		US	CN	71.69831047	46.83099797	1
US	CH	US	CN	0.450404052	0.294189237	1
TW		US	CN	168.4700844	110.0391645	1
GB		US	CN	49.02783094	32.02338013	1
US	GB	US	CN	337.9066989	220.709635	1
US			CN	109979.9692	71835.32889	1
CN	VG	US	CN	288.4063492	188.377621	1
n.a.	VG	US	CN	0.137481508	0.089798437	1
n.a.		US	CN	1487.006228	971.2639695	1
US		VU	CN	7.491458975	54.662939	2
SG		VN	CN	4.410618413	7.423080817	2
VN			CN	0.038533628	0.064852183	2
AU		VG	CN	135.4603093	135.4603093	2
HK	BM	VG	CN	127.8312775	127.8312775	2
CN	BM	VG	CN	124.7619449	124.7619449	2
n.a.	BM	VG	CN	18.67396628	18.67396628	2
CA		VG	CN	191.3256551	191.3256551	2
HK	KY	VG	CN	51.05088298	51.05088298	2
CN	KY	VG	CN	2678.247573	2678.247573	2
TW	KY	VG	CN	345.8445097	345.8445097	2
GB	KY	VG	CN	15.86432592	15.86432592	2
n.a.	KY	VG	CN	2.722070818	2.722070818	2
HK		VG	CN	13.2283606	13.2283606	2
CN	HK	VG	CN	670.6386602	670.6386602	2
n.a.	HK	VG	CN	1.214491903	1.214491903	2
CN		VG	CN	646.969792	646.969792	2
DE		VG	CN	331.167891	331.167891	2
JP		VG	CN	1.736007475	1.736007475	2
n.a.	JY	VG	CN	4.622431078	4.622431078	2
IN	LU	VG	CN	631.935232	631.935232	2
MY		VG	CN	95.07639891	95.07639891	2
PH		VG	CN	137.2969833	137.2969833	2
PL		VG	CN	7.512824642	7.512824642	2
RU		VG	CN	14.40317117	14.40317117	2
SG		VG	CN	146.0897683	146.0897683	2
DE	CH	VG	CN	7.547570277	7.547570277	2
US	CH	VG	CN	6.773421985	6.773421985	2
TW		VG	CN	5764.365712	5764.365712	2
TH		VG	CN	6.014498319	6.014498319	2
GB		VG	CN	184.6359328	184.6359328	2
n.a.	GB	VG	CN	3.924423604	3.924423604	2
US		VG	CN	1358.115919	1358.115919	2
HK	VG		CN	47.26844954	50.19154452	2
MO	VG		CN	19.74799677	20.96921877	2
CN	VG		CN	2252.272374	2391.553567	2
DK	VG		CN	57.68061484	61.24760122	2
IN	VG		CN	8.388360981	8.907099719	2
JP	VG		CN	274.1896882	291.14566	2
LB	VG		CN	64.86692729	68.87831736	2
RU	VG		CN	175.7726231	186.6424544	2
SG	VG		CN	37.44654884	39.76225456	2
CH	VG		CN	23.40666471	24.85413982	2
TW	VG		CN	223.0157699	236.8071314	2
US	VG		CN	59.31915462	62.98746879	2
n.a.	VG		CN	216.9499474	230.3661967	2
n.a.		VG	CN		310685.2648	2
