Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
24.11	50.43	EG	LU		IT
0.67	0.00	ER			IT
4375.30	6502.64	ES			IT
3.88	7.99	ES	CH		IT
0.17	0.36	ES	CZ		IT
2.25	7.72	ES	DE		IT
1.04	10.65	ES	DK		IT
2.84	0.00	ES	FI		IT
7.58	69.32	ES	FR		IT
1.38	7.08	ES	GB		IT
76.38	394.35	ES	LU		IT
14.79	6.37	ES	NL		IT
3.56	15.00	ET			IT
535.69	0.00	FI			IT
9.03	65.27	FI	AT		IT
0.01	0.02	FI	CH		IT
0.17	0.50	FI	DE		IT
7.94	92.12	FI	NL		IT
0.17	0.62	FI	SE		IT
37315.55	52030.14	FR			IT
0.08	0.10	FR	AT		IT
383.29	2797.49	FR	BE		IT
10.35	0.00	FR	BS	LU	IT
266.78	152.25	FR	CH		IT
171.23	87.56	FR	DE		IT
1.78	0.38	FR	ES		IT
27.19	23.54	FR	GB		IT
3.57	0.00	FR	GG		IT
5.93	3.75	FR	IE		IT
5.44	3.87	FR	IE	NL	IT
90.37	0.00	FR	KY		IT
8.78	0.00	FR	KY	NL	IT
1517.31	2950.42	FR	LU		IT
2.40	1.59	FR	LU	CH	IT
12.04	7.18	FR	LU	DE	IT
1937.63	2145.77	FR	NL		IT
1.22	0.21	FR	NL	DE	IT
16.29	1.89	FR	PA	LU	IT
0.00	0.00	FR	RO		IT
3.81	2.80	FR	SE		IT
54.38	65.09	FR	US		IT
0.52	0.00	FR	VG	CH	IT
12522.54	22167.27	GB			IT
6.95	19.82	GB	AT		IT
0.80	16.64	GB	BE		IT
0.38	1.71	GB	BM	CY	IT
132.22	209.96	GB	CH		IT
4.50	27.99	GB	CH	NL	IT
4.50	9.46	GB	CW	NL	IT
1.92	0.17	GB	CY		IT
1.05	0.24	GB	CY	LU	IT
138.60	160.92	GB	DE		IT
427.62	209.35	GB	ES		IT
35.88	110.95	GB	FR		IT
3.99	0.00	GB	GG		IT
3.10	0.00	GB	GG	DE	IT
13.25	0.00	GB	GG	FR	IT
2.43	0.00	GB	GG	IL	IT
8.44	0.00	GB	GG	LU	IT
2.83	0.00	GB	GI		IT
2.83	1.68	GB	IE		IT
10.61	7.54	GB	IE	NL	IT
381.73	0.00	GB	JY		IT
0.52	0.00	GB	JY	AR	IT
2.08	0.00	GB	JY	DE	IT
192.02	0.00	GB	JY	ES	IT
3.19	0.00	GB	JY	FR	IT
7.38	0.00	GB	JY	LU	IT
110.94	0.00	GB	JY	NL	IT
0.07	0.00	GB	KY	DE	IT
1.60	0.11	GB	LI		IT
3799.38	8775.80	GB	LU		IT
72.30	727.52	GB	LU	BE	IT
41.26	24.62	GB	LU	DE	IT
17.09	4.34	GB	LU	ES	IT
0.52	0.86	GB	LU	FR	IT
0.74	107.41	GB	MT		IT
233.73	681.96	GB	NL		IT
0.61	0.43	GB	TR		IT
0.78	2.03	GB	US		IT
2.97	1.00	GE			IT
0.38	0.00	GH			IT
59.42	0.00	GR			IT
0.35	0.00	GR	AL		IT
1.39	2.66	GR	BE		IT
558.03	173.10	GR	CH		IT
0.20	0.00	GR	CY		IT
0.74	0.00	GR	NL		IT
0.69	0.00	GR	RO		IT
40.11	1.50	GT			IT
62.18	4.05	HK	BM		IT
0.53	0.60	HK	BM	FR	IT
0.57	1.13	HK	BM	NL	IT
2.08	0.01	HK	DE		IT
1.91	0.00	HK	KY		IT
1.10	0.00	HK	KY	GB	IT
12.84	0.00	HK	KY	NL	IT
38.90	66.49	HK	LU		IT
28.15	3.26	HK	PA	LU	IT
1916.57	129.52	HK	VG		IT
21.39	0.12	HK	VG	AT	IT
16.37	87.06	HK	VG	KY	IT
0.02	0.00	HN			IT
16.94	0.00	HR			IT
0.52	0.00	HR	DE		IT
15.77	32.98	HR	LU		IT
164.21	10.39	HU			IT
192.75	3.00	ID			IT
213.05	29.32	IE			IT
1.58	0.61	IE	FR		IT
0.30	0.06	IE	GB		IT
140.93	0.00	IL			IT
1.60	22.57	IL	BE		IT
0.99	9.59	IL	CY		IT
0.35	0.69	IL	FR		IT
20.77	49.71	IL	LU		IT
17.67	45.81	IL	NL		IT
9.42	15.20	IL	US		IT
236.76	0.00	IN			IT
1.84	3.49	IN	BE		IT
27.35	1.23	IN	CA		IT
1.56	0.14	IN	CH		IT
9.98	11.57	IN	CY		IT
0.87	0.20	IN	CY	LU	IT
0.10	0.01	IN	DE		IT
3.21	0.71	IN	FR		IT
3.19	0.40	IN	GB		IT
1.20	0.00	IN	IL		IT
38.72	0.00	IN	JY	LU	IT
83.98	158.20	IN	LU		IT
10.18	0.00	IN	MC		IT
7.58	123.06	IN	MT		IT
8.57	22.81	IN	MU		IT
44.41	17.59	IN	NL		IT
19.16	11.82	IN	SG		IT
1.04	0.18	IN	US		IT
0.01	1.50	IQ			IT
13.02	25.49	IR			IT
2.76	4.49	IR	CH		IT
0.31	1.20	IR	CH	FR	IT
141.84	3.36	IR	DE		IT
7.76	0.00	IS	BE		IT
1.80	0.00	IS	FR		IT
7.78	13.78	IS	GB		IT
65.17	56.75	IS	NL		IT
44.70	255.02	IT	AT		IT
2.79	46.45	IT	AU		IT
24.57	208.97	IT	BE		IT
2.79	8.71	IT	BG		IT
23.42	1.95	IT	BS		IT
411.54	728.90	IT	CH		IT
58.14	254.08	IT	CH	DK	IT
5.34	3.33	IT	CH	ES	IT
31.43	66.10	IT	CW	NL	IT
16.15	25.53	IT	CY		IT
0.41	0.54	IT	CZ		IT
4.97	13.44	IT	DE		IT
2.22	13.23	IT	DK		IT
0.38	0.06	IT	EE		IT
145.75	178.57	IT	ES		IT
51.69	387.68	IT	FR		IT
1852.80	6404.90	IT	GB		IT
151.20	615.86	IT	GB	LU	IT
55.19	280.25	IT	GB	NL	IT
11.18	8.50	IT	GG		IT
1.07	0.00	IT	GH		IT
90.08	8.19	IT	GI		IT
260.56	0.00	IT	GI	GB	IT
56.34	50.11	IT	GR		IT
0.00	2.74	IT	HR		IT
25.66	44.46	IT	IE		IT
70.11	16.88	IT	IM	DE	IT
93.95	77.23	IT	JY		IT
1.04	0.00	IT	JY	FR	IT
421.76	0.00	IT	JY	GB	IT
231.94	0.00	IT	JY	LU	IT
45.51	7.93	IT	LI	LU	IT
6788.47	31582.99	IT	LU		IT
2.42	1.60	IT	LU	CH	IT
86.41	77.89	IT	LU	GB	IT
207.95	562.59	IT	LU	NL	IT
0.42	22.09	IT	LV		IT
0.34	0.00	IT	MC		IT
1.24	0.00	IT	MC	FR	IT
2338.59	0.00	IT	MC	LU	IT
12.57	0.00	IT	MH	MT	IT
25.87	138.08	IT	MT		IT
11.58	0.00	IT	MT	PT	IT
12769.85	18326.37	IT	NL		IT
42.71	3.04	IT	NL	ES	IT
2.07	0.57	IT	NL	GB	IT
664.25	453.06	IT	NL	LU	IT
323.55	661.91	IT	NL	PT	IT
110.24	45.46	IT	NL	US	IT
1.00	3.04	IT	PL		IT
2.82	56.90	IT	PT		IT
13.82	111.43	IT	RO		IT
0.25	1.82	IT	SC		IT
2.59	12.96	IT	SE		IT
1.97	28.98	IT	SI		IT
0.27	5.78	IT	SK		IT
11.86	31.32	IT	SM		IT
0.17	13.67	IT	TN		IT
53.21	90.43	IT	TR		IT
40.18	308.96	IT	US		IT
23.46	0.07	IT	VG	GB	IT
87.82	0.85	IT	VG	LU	IT
0.70	3.00	JO			IT
4.79	8.48	JO	GB		IT
2879.90	2751.63	JP			IT
0.30	0.65	JP	AT		IT
204.98	2970.21	JP	BE		IT
3.39	3.85	JP	BG		IT
35.42	36.95	JP	CH		IT
243.21	226.83	JP	DE		IT
0.33	0.89	JP	DK		IT
