Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
117.4	1006.8	FR	CH	BE	FR
1837.4	6883.9	FR	CH	LU	FR
967.6	4570.3	FR	DE		FR
10.0	252.9	FR	DK		FR
207.6	2020.8	FR	ES		FR
337.3	2608.1	FR	GB		FR
3.0	66.7	FR	GB	BE	FR
96.2	1840.4	FR	GB	LU	FR
384.8	2655.3	FR	GB	NL	FR
0.5	46.7	FR	GG		FR
519.7	2474.9	FR	IE		FR
0.6	20.8	FR	IL		FR
3.8	63.1	FR	IT		FR
24076.1	44207.0	FR	LU		FR
7.5	129.3	FR	LU	BE	FR
0.0	2.6	FR	LU	CH	FR
0.2	7.5	FR	LU	DE	FR
1.8	68.0	FR	LU	ES	FR
0.0	1.0	FR	LU	IT	FR
23.2	360.4	FR	MC		FR
6.2	251.0	FR	MC	CH	FR
20916.8	37761.7	FR	NL		FR
0.1	8.5	FR	NL	BE	FR
3.1	63.2	FR	NL	DE	FR
2.1	66.3	FR	NL	ES	FR
0.0	0.7	FR	NL	IT	FR
15.6	151.1	FR	PT		FR
4.4	75.2	FR	SE		FR
48.3	586.9	FR	SG		FR
105.1	1016.7	FR	US		FR
16.2	83.3	FR	VG	LU	FR
177.0	177.0	GA			FR
66925.5	72428.5	GB			FR
4.9	93.0	GB	BE		FR
0.0	6.6	GB	BM		FR
9.4	202.8	GB	CH		FR
0.4	20.0	GB	CW		FR
0.4	5.3	GB	CW	NL	FR
18.3	326.0	GB	CY		FR
7.8	111.9	GB	DE		FR
521.0	2272.5	GB	ES		FR
606.2	669.4	GB	GG		FR
0.2	6.5	GB	GG	IT	FR
0.1	5.4	GB	GG	NL	FR
0.5	15.0	GB	HK		FR
10.7	218.1	GB	IE		FR
1.9	32.3	GB	IN		FR
1.0	18.1	GB	IT		FR
264.1	770.6	GB	JE		FR
1.1	31.2	GB	JE	BE	FR
2.1	26.7	GB	JE	DE	FR
0.1	2.0	GB	JE	ES	FR
0.6	9.6	GB	JE	IT	FR
1.2	17.0	GB	JE	NL	FR
0.0	1.5	GB	JE	US	FR
0.3	10.0	GB	LI		FR
3060.1	10287.2	GB	LU		FR
0.4	17.6	GB	LU	CH	FR
8.5	140.1	GB	LU	ES	FR
0.5	61.5	GB	LU	IE	FR
0.1	6.2	GB	LU	IT	FR
63.5	723.4	GB	LU	NL	FR
2.0	95.9	GB	MC	LU	FR
89.1	916.1	GB	NL		FR
1.7	44.4	GB	SG		FR
26.7	426.4	GB	US		FR
0.0	0.6	GB	VG		FR
9.3	137.8	GR			FR
0.2	58.8	GR	BE		FR
0.2	20.4	GR	CH		FR
12.5	137.2	GR	LU		FR
120.3	1038.2	HK			FR
25.0	650.8	HK	BM		FR
0.4	21.9	HK	BM	ES	FR
1.0	24.4	HK	CW	NL	FR
0.6	20.8	HK	DE		FR
0.2	17.3	HK	KY	NL	FR
19.6	209.5	HK	LU		FR
113.9	519.9	HK	VG		FR
4.8	29.0	HK	VG	NL	FR
36.8	109.2	HU			FR
0.0	2.1	HU	CH		FR
440.8	1853.5	IE			FR
5.7	73.3	IE	BE		FR
9.7	183.1	IE	BM		FR
11.6	116.7	IE	CH		FR
0.1	5.1	IE	DE		FR
56.4	712.7	IE	GB		FR
203.4	2192.1	IE	LU		FR
0.1	7.8	IE	LU	ES	FR
109.7	852.7	IE	NL		FR
0.3	3.0	IE	SE		FR
2.2	23.7	IE	VG		FR
155.6	182.0	IL			FR
0.0	5.5	IL	AU		FR
0.2	5.0	IL	BE		FR
0.0	0.8	IL	CH		FR
0.0	6.4	IL	CW	GB	FR
0.0	2.6	IL	CW	NL	FR
0.0	0.4	IL	DE		FR
0.0	2.2	IL	GB		FR
45.1	374.1	IL	LU		FR
208.7	470.4	IL	NL		FR
3.1	58.4	IL	US		FR
1.5	82.6	IN			FR
0.1	3.7	IN	BE		FR
19.8	235.0	IN	BS		FR
0.1	48.0	IN	CH		FR
0.0	2.1	IN	DE		FR
5.5	114.3	IN	GB		FR
1.9	76.7	IN	IE		FR
0.1	18.5	IN	JE		FR
541.1	2606.6	IN	LU		FR
0.4	31.5	IN	LU	BE	FR
0.0	0.9	IN	LU	ES	FR
2.5	61.2	IN	LU	NL	FR
2.0	83.2	IN	NL		FR
0.0	39.6	IN	TH		FR
210.5	210.5	IR			FR
4.7	98.7	IR	CH		FR
6.7	62.0	IS			FR
0.1	3.9	IS	LU	NL	FR
7.6	163.3	IS	NL		FR
17888.4	18811.5	IT			FR
0.5	26.1	IT	BE		FR
82.0	712.9	IT	BM		FR
7.8	159.4	IT	CH		FR
19.4	292.9	IT	CH	CZ	FR
