Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
64.9	986.5	DE	LU	NL	DE
0.0	10.6	DE	LU	NO	DE
0.3	23.3	DE	LU	US	DE
12.8	137.0	DE	MT		DE
1.6	57.4	DE	MT	LU	DE
0.6	13.8	DE	MT	NL	DE
3783.0	20734.9	DE	NL		DE
0.5	44.0	DE	NL	AU	DE
0.2	13.1	DE	NO		DE
1.4	50.3	DE	PL		DE
0.1	5.9	DE	PT		DE
0.6	22.3	DE	RS		DE
83.3	875.8	DE	SE		DE
1.1	42.1	DE	SK		DE
172.1	1940.3	DE	US		DE
73.9	627.8	DE	VG		DE
1.3	21.3	DE	VG	LU	DE
0.3	6.2	DE	VG	NL	DE
6640.3	6858.3	DK			DE
10.8	185.6	DK	CH		DE
8.0	158.7	DK	CH	SE	DE
0.0	3.8	DK	FI		DE
0.3	12.8	DK	GB		DE
0.8	25.9	DK	LU		DE
32.3	752.8	DK	NL		DE
0.0	1.5	DK	US		DE
4.3	78.8	DK	VG		DE
1.5	1.5	DZ			DE
3.0	3.0	EE			DE
5.2	41.2	EG			DE
29.6	815.1	EG	LU		DE
1.2	19.1	EG	NL		DE
1.0	53.2	EG	VG	CY	DE
8975.4	14528.2	ES			DE
47.3	509.1	ES	AT		DE
34.8	520.7	ES	CH		DE
0.5	45.4	ES	FI		DE
0.6	18.2	ES	FR		DE
9948.5	16209.8	ES	GB		DE
2.6	98.1	ES	IT		DE
66.2	826.4	ES	LU		DE
0.1	5.7	ES	LU	GB	DE
24.8	994.0	ES	NL		DE
0.1	2.9	ES	PT		DE
0.1	5.2	ES	SE		DE
1447.6	1815.4	FI			DE
2.2	60.0	FI	AT		DE
11.7	195.0	FI	GB		DE
42.0	152.1	FI	GI		DE
273.3	1235.1	FI	LU		DE
78.1	1358.4	FI	NL		DE
87.9	701.0	FI	SE		DE
37546.2	46182.8	FR			DE
30.6	717.2	FR	AT		DE
72.4	1153.7	FR	BE		DE
0.1	37.3	FR	BE	LU	DE
14.5	377.3	FR	CH		DE
1.1	31.8	FR	CH	LU	DE
30.4	537.9	FR	CN		DE
1.5	32.9	FR	DK		DE
0.4	19.5	FR	ES		DE
0.1	2.4	FR	FI		DE
9.6	220.2	FR	GB		DE
11.9	183.1	FR	HK		DE
4.7	139.1	FR	IE		DE
0.3	23.0	FR	IE	NL	DE
1.4	111.9	FR	IL		DE
0.0	2.1	FR	IN		DE
5.3	110.0	FR	IT		DE
1848.8	10898.2	FR	LU		DE
0.5	47.9	FR	LU	BE	DE
3.6	139.9	FR	LU	CH	DE
0.0	3.2	FR	LU	ES	DE
0.9	81.9	FR	LU	GB	DE
0.1	13.5	FR	LU	IT	DE
5.1	55.7	FR	LU	NL	DE
6183.1	29362.5	FR	NL		DE
0.2	28.4	FR	NL	BE	DE
0.2	30.4	FR	NL	CH	DE
0.4	26.9	FR	NL	ES	DE
0.3	39.7	FR	NL	IT	DE
0.0	1.3	FR	NO		DE
0.1	4.4	FR	PL		DE
5.9	104.1	FR	SE		DE
0.0	1.5	FR	SG	NL	DE
12.3	197.5	FR	US		DE
33154.9	47953.8	GB			DE
0.2	34.2	GB	AT		DE
0.2	16.1	GB	AU		DE
1.3	27.2	GB	BE		DE
25.8	863.9	GB	CH		DE
1.5	30.2	GB	CW	NL	DE
6.6	167.3	GB	CY		DE
8.1	581.6	GB	DK		DE
1.0	28.1	GB	ES		DE
3.8	55.8	GB	FI		DE
22.6	316.3	GB	FR		DE
0.8	29.8	GB	GG		DE
0.3	13.2	GB	GG	FR	DE
0.1	7.5	GB	GG	IL	DE
2.0	60.3	GB	GG	LU	DE
0.6	31.2	GB	GG	NL	DE
0.3	14.6	GB	HR		DE
4.0	351.9	GB	IE		DE
3.0	70.6	GB	IE	FR	DE
5.0	78.6	GB	IE	MT	DE
2.4	3.5	GB	IM	LU	DE
0.9	98.3	GB	IT		DE
539.8	1418.0	GB	JE		DE
3.8	108.1	GB	KY		DE
2.5	99.2	GB	LI		DE
7560.8	25906.3	GB	LU		DE
0.0	2.0	GB	LU	FR	DE
0.2	37.2	GB	LU	IT	DE
57.3	970.3	GB	LU	NL	DE
