Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
0.0	14.9	DE	MT	IT	US
38923.5	95183.4	DE	NL		US
0.4	139.8	DE	NL	DK	US
0.7	113.8	DE	NO		US
22.2	391.0	DE	NZ		US
7.0	397.3	DE	SE		US
0.6	97.0	DE	TR		US
8808.1	13061.1	DK			US
2.0	240.3	DK	AU		US
1.7	158.2	DK	BE		US
0.0	29.8	DK	BS		US
20.1	2016.1	DK	CH		US
0.3	41.0	DK	DE		US
0.0	14.9	DK	ES		US
0.1	60.3	DK	FI		US
0.1	31.0	DK	FR		US
8.9	741.4	DK	GB		US
0.0	61.3	DK	HK		US
0.9	197.3	DK	IT		US
32.3	3054.1	DK	NL		US
0.5	114.4	DK	NO		US
0.1	75.8	DK	PT		US
2.5	231.7	DK	SE		US
0.8	1.0	DO			US
0.5	0.5	EC			US
52.5	2465.4	EG	NL		US
37970.8	53838.9	ES			US
2.7	363.9	ES	AU		US
0.0	48.7	ES	BE		US
6.0	291.5	ES	CA		US
24.7	3969.5	ES	CH		US
22.3	1732.5	ES	DE		US
150.6	3975.8	ES	FR		US
904.2	14689.2	ES	GB		US
7.2	223.7	ES	IE		US
9.0	561.0	ES	IT		US
0.3	50.9	ES	LU		US
0.0	15.7	ES	MX		US
338.0	12268.3	ES	NL		US
0.8	232.5	ES	PT		US
0.0	17.7	ES	UG		US
5561.8	6484.7	FI			US
2.5	393.2	FI	CA		US
0.3	44.2	FI	DE		US
1.8	743.2	FI	FR		US
2.9	405.9	FI	GB		US
0.0	283.9	FI	IS		US
0.5	593.0	FI	IT		US
119.1	2614.9	FI	NL		US
0.4	195.8	FI	NO		US
134.0	2596.8	FI	SE		US
150732.5	204053.6	FR			US
4.8	1001.5	FR	AT		US
0.6	88.1	FR	AU		US
740.1	13718.9	FR	BE		US
0.9	90.8	FR	CA		US
6137.7	34346.0	FR	CH		US
305.1	12105.7	FR	DE		US
0.4	192.3	FR	DK		US
84.1	2064.1	FR	ES		US
1.8	116.6	FR	GA		US
391.0	11968.6	FR	GB		US
0.1	62.5	FR	GG	BE	US
0.6	170.3	FR	IE		US
52.7	3541.9	FR	IT		US
59.4	2217.0	FR	JP		US
1031.7	42953.0	FR	LU		US
0.2	38.8	FR	LU	BE	US
0.0	10.8	FR	LU	CH	US
0.1	11.2	FR	LU	NL	US
1.6	202.6	FR	MC		US
3199.3	71679.4	FR	NL		US
0.1	71.9	FR	NL	BE	US
1.7	62.2	FR	NL	CA	US
83.6	4429.7	FR	NL	CH	US
1.2	669.7	FR	NL	DE	US
2.8	329.4	FR	NL	ES	US
3.1	212.8	FR	NL	GB	US
0.0	103.7	FR	NL	IT	US
0.7	194.8	FR	NL	NO	US
0.0	4.0	FR	NO		US
13.7	487.7	FR	SE		US
4.4	1277.2	FR	VG	CH	US
207710.2	389650.1	GB			US
0.4	227.8	GB	AU		US
94.4	7551.4	GB	BE		US
5.1	904.2	GB	BM		US
170.2	775.2	GB	BS		US
39.0	1906.2	GB	CA		US
986.7	27079.4	GB	CH		US
2.7	591.8	GB	CW		US
10.2	1796.0	GB	CW	NL	US
190.1	8016.6	GB	DE		US
2.2	384.2	GB	DK		US
150.0	2827.0	GB	ES		US
0.1	15.6	GB	FI		US
624.4	11785.7	GB	FR		US
45.6	2001.1	GB	GG		US
34.0	8064.9	GB	GI		US
487.1	7038.3	GB	HK		US
28.8	1249.8	GB	IE		US
418.8	685.7	GB	IE	MT	US
0.2	24.0	GB	IL		US
0.6	63.6	GB	IM		US
6.1	243.0	GB	IN		US
8.9	896.7	GB	IT		US
71.7	4706.5	GB	JE		US
0.2	68.4	GB	JE	ES	US
0.0	24.2	GB	JE	FR	US
0.1	305.2	GB	JE	IE	US
0.0	47.4	GB	JE	IT	US
8124.2	56082.9	GB	KY		US
0.0	13.2	GB	KY	DE	US
3415.5	59436.8	GB	LU		US
0.4	70.9	GB	LU	NL	US
0.0	6.9	GB	LU	SE	US
1.1	255.3	GB	MU		US
3.3	423.2	GB	MX		US
3.3	485.5	GB	MY		US
219.4	15019.8	GB	NL		US
13.1	2334.3	GB	NO		US
0.8	986.8	GB	SA		US
30.0	1686.7	GB	SE		US
21.7	2182.4	GB	SG		US
0.0	17.1	GB	TR		US
0.0	60.8	GB	VG		US
0.2	185.2	GB	ZA		US
240.2	595.9	GR			US
7.3	651.6	GR	BE		US
2.5	201.4	GR	CH		US
0.0	29.3	GR	CY		US
3.4	392.9	GR	GB		US
0.1	36.3	GR	IT		US
30.5	448.8	GR	LU		US
1.9	237.1	GR	NL		US
0.2	135.2	GR	PA	NL	US
7.5	7.5	GT			US
0.5	0.5	GY			US
781.5	6411.3	HK			US
1.0	179.4	HK	BM		US
1.2	733.1	HK	BM	FR	US
0.5	105.5	HK	DE		US
0.1	9.8	HK	DK		US
0.3	44.4	HK	FR		US
0.3	34.6	HK	GB		US
1352.2	9034.1	HK	KY		US
0.0	25.4	HK	KY	NL	US
3.2	371.4	HK	MU	IN	US
0.1	18.7	HK	NL		US
0.1	25.7	HK	SG		US
0.0	88.5	HK	VG		US
1.2	649.0	HK	VG	KY	US
0.0	2.7	HN	PA		US
4.0	4.0	HR			US
1.7	101.3	HU			US
1053.5	1053.5	ID			US
0.4	168.8	ID	MU		US
550.4	16906.4	IE			US
0.8	552.7	IE	CA		US
1.9	1231.0	IE	FR		US
1.1	925.0	IE	GB		US
7.3	586.3	IE	LU		US
659.1	25960.7	IE	NL		US
7066.3	7447.3	IL			US
2.7	687.7	IL	BE		US
52.0	4575.4	IL	CH		US
0.1	89.2	IL	CW		US
2.9	1048.7	IL	CY		US
120.2	8650.1	IL	DE		US
4.1	1701.1	IL	FR		US
62.0	5709.5	IL	GB		US
0.3	571.6	IL	GG	NL	US
0.3	165.1	IL	GI		US
12.3	634.4	IL	HR		US
0.0	20.3	IL	IT		US
843.2	11958.4	IL	KY		US
24.9	4711.2	IL	NL		US
305.4	8817.2	IL	VG	LU	US
1893.9	7485.5	IN			US
1.6	420.8	IN	BE		US
0.1	20.3	IN	CA		US
38.3	1255.6	IN	CH		US
1.2	748.5	IN	CW		US
0.8	87.3	IN	DE		US
1.3	173.2	IN	DK		US
0.4	37.4	IN	FR		US
152.1	3227.7	IN	GB		US
0.0	3.8	IN	HK		US
7.9	3049.4	IN	HU		US
1.7	119.6	IN	IE		US
0.1	151.7	IN	JE		US
66.5	3566.3	IN	KY		US
278.6	6467.9	IN	LU		US
0.0	19.1	IN	LU	BE	US
2.2	488.0	IN	MU		US
38.6	1538.7	IN	NL		US
3.3	645.4	IN	PL		US
0.5	182.2	IN	SE		US
0.8	145.7	IN	SG		US
133.6	1852.6	IN	TH		US
0.6	10.5	IR			US
14.6	364.4	IS			US
0.9	839.8	IS	BE		US
0.1	256.2	IS	CA		US
12.2	1000.4	IS	GB		US
3072.4	18001.0	IT			US
10.6	642.2	IT	AT		US
